iter	RMSE
181	24183.81474
182	24169.71722
183	24141.44651
184	24099.62511
185	24074.32763
186	24058.6755
187	24034.03241
188	24017.95997
189	23986.29912
190	23957.85193
191	23940.52113
192	23921.114
193	23915.91704
194	23884.92359
195	23808.44942
196	23771.52572
197	23686.07323
198	23665.88263
199	23640.44048
200	23616.66969
201	23593.98827
202	23531.5299
203	23510.45424
204	23478.50154
205	23458.74321
206	23446.82467
207	23425.55327
208	23403.51162
209	23395.47413
210	23318.58794
211	23293.46994
212	23278.99457
213	23250.54967
214	23231.61124
215	23214.56943
216	23177.04456
217	23154.40753
218	23129.64
219	23109.11393
220	23052.81676
221	23030.99144
222	23002.2106
223	22989.80252
224	22915.27348
225	22897.35417
226	22874.07412
227	22850.82639
228	22822.51764
229	22796.18775
230	22779.78909
231	22748.87924
232	22724.77477
233	22710.01185
234	22695.21447
235	22656.4105
236	22634.95218
237	22566.07333
238	22547.35973
239	22532.36616
240	22510.38224
241	22482.29942
242	22421.20653
243	22403.30302
244	22387.88832
245	22383.73733
246	22359.28041
247	22318.8716
248	22290.92406
249	22278.48367
250	22266.40591
251	22242.83176
252	22231.50611
253	22227.69477
254	22210.24481
255	22188.67307
256	22164.13514
257	22131.24269
258	22109.25906
259	22088.0749
260	22071.65
261	22059.27069
262	22013.32729
263	22003.62866
264	21955.6166
265	21937.13449
266	21920.45625
267	21906.3424
268	21893.82093
269	21882.64649
270	21872.57932
271	21853.06218
272	21850.36323
273	21836.23852
274	21819.65668
275	21808.39037
276	21804.95866
277	21791.18516
278	21776.53193
279	21763.90399
280	21747.60692
281	21718.27865
282	21699.80032
283	21652.66549
284	21628.39243
285	21600.08279
286	21584.49137
287	21572.92394
288	21558.999
289	21538.22181
290	21496.38719
291	21485.21854
292	21482.96243
293	21471.59085
294	21452.74596
295	21433.84167
296	21420.56128
297	21396.00379
298	21377.61418
299	21362.22385
300	21351.64881
301	21340.64643
302	21338.47874
303	21320.46806
304	21297.27478
305	21257.95939
306	21237.99445
307	21228.06952
308	21213.93541
309	21196.77963
310	21182.68224
311	21170.09235
312	21103.0207
313	21094.90708
314	21084.97052
315	21068.85023
316	21054.83096
317	21046.04519
318	21031.59081
319	21022.53187
320	20988.28458
321	20960.32187
322	20949.03541
323	20930.93554
324	20915.23592
325	20863.01807
326	20846.47778
327	20830.35908
328	20818.20226
329	20810.84655
330	20784.82316
331	20774.80123
332	20764.5292
333	20745.21731
334	20732.43997
335	20697.48026
336	20685.60951
337	20675.26303
338	20652.54227
339	20640.70141
340	20632.55123
341	20621.83075
342	20574.73926
343	20562.84395
344	20554.95209
345	20543.05554
346	20523.26663
347	20511.67446
348	20499.1224
349	20459.28145
350	20449.22657
351	20438.19901
352	20422.16823
353	20394.9439
354	20387.39725
355	20380.43149
356	20368.38296
357	20354.14856
358	20339.98621
359	20329.01821
360	20317.51358
361	20307.0932
362	20264.93331
363	20223.24883
364	20186.00228
365	20177.85846
366	20171.39268
367	20165.98611
368	20152.31596
369	20138.88257
370	20128.29915
371	20118.5678
372	20112.67195
373	20104.28512
374	20092.3249
375	20073.98166
376	20066.2583
377	20056.76011
378	20043.70889
379	20020.99158
380	20004.42945
381	19989.1826
382	19983.27705
383	19973.2616
384	19938.98603
385	19934.95319
386	19929.75585
387	19921.51054
388	19908.21221
389	19897.46208
390	19880.26916
391	19840.92286
392	19828.24966
393	19809.40216
394	19802.07368
395	19792.35285
396	19783.68684
397	19767.14399
398	19756.49722
399	19741.13821
400	19738.10336
401	19731.62925
402	19722.10882
403	19710.44071
404	19699.70838
405	19695.36336
406	19684.27013
407	19679.01216
408	19628.41821
409	19620.85237
410	19610.03713
411	19595.40384
412	19587.75044
413	19580.87306
414	19570.38566
415	19561.70255
416	19549.80953
417	19540.3458
418	19532.07062
419	19516.44082
420	19464.16844
421	19417.26652
422	19409.6493
423	19404.71967
424	19397.44005
425	19392.47206
426	19385.24358
427	19365.10751
428	19333.84431
429	19327.67398
430	19316.68068
431	19310.07428
432	19263.51592
433	19253.49118
434	19245.63146
435	19238.18688
436	19232.67092
437	19204.52762
438	19194.32644
439	19185.13913
440	19180.91147
441	19152.21998
442	19139.26528
443	19124.5799
444	19081.02279
445	19068.90974
446	19060.79049
447	19054.39961
448	19044.11371
449	19038.14892
450	19033.08694
451	19022.55489
452	19017.97128
453	19012.61564
454	18979.26009
455	18973.48676
456	18958.71035
457	18932.84509
458	18908.58026
459	18904.33956
460	18891.72486
461	18886.4959
462	18881.66443
463	18873.41234
464	18867.96209
465	18854.38593
466	18846.95271
467	18839.05932
468	18830.47901
469	18827.9075
470	18824.60476
471	18817.0815
472	18808.0839
473	18796.13352
474	18768.04746
475	18763.32498
476	18757.91076
477	18753.11081
478	18746.74823
479	18742.21978
480	18732.70581
481	18727.72328
482	18721.89557
483	18717.61176
484	18716.15104
485	18707.85482
486	18703.61267
487	18694.06315
488	18690.83174
489	18687.73523
490	18681.81455
491	18677.67249
492	18667.82215
493	18664.87688
494	18661.1893
495	18638.99504
496	18616.8878
497	18611.44779
498	18605.75516
499	18602.26535
500	18593.61569
501	18589.40576
502	18585.41666
503	18551.18583
504	18547.08752
505	18509.62962
506	18501.57874
507	18497.87881
508	18493.05894
509	18489.7792
510	18450.61577
511	18444.81052
512	18441.45509
513	18436.83379
514	18434.22768
515	18430.94891
516	18423.46126
517	18412.29342
518	18403.98918
519	18398.45342
520	18396.21064
521	18387.87508
522	18384.33481
523	18342.28792
524	18338.57727
525	18333.52508
526	18328.80308
527	18318.06055
528	18312.53995
529	18252.09929
530	18219.37266
531	18214.64563
532	18205.23559
533	18200.81943
534	18187.61716
535	18139.26974
536	18094.8191
537	18090.53386
538	18084.68862
539	18081.24599
540	18077.05665
541	18072.65898
542	18068.63167
543	18063.23712
544	18060.01692
545	18055.60909
546	18048.53816
547	18037.39888
548	18033.40509
549	18011.38966
550	18006.94918
551	18003.10506
552	18000.56139
553	17985.03931
554	17971.38351
555	17967.46838
556	17962.52853
557	17952.35876
558	17937.57534
559	17934.76739
560	17929.85195
561	17921.55274
562	17918.37618
563	17881.92467
564	17868.62115
565	17865.49044
566	17861.13913
567	17852.39017
568	17849.70324
569	17845.25282
570	17832.70353
571	17829.24178
572	17789.17888
573	17761.871
574	17758.71129
575	17755.60096
576	17733.58839
577	17728.3639
578	17722.46444
579	17720.47097
580	17703.30997
581	17687.36766
582	17684.96606
583	17661.34068
584	17657.48004
585	17654.73503
586	17645.52369
587	17613.58791
588	17610.55552
589	17603.12101
590	17591.67684
591	17583.02064
592	17579.65028
593	17569.65375
594	17566.9702
595	17540.90151
596	17536.19188
597	17532.68776
598	17498.35171
599	17495.17603
600	17492.21657
601	17486.67424
602	17440.05005
603	17424.13709
604	17401.55296
605	17397.68595
606	17364.52625
607	17356.37487
608	17350.31584
609	17344.02535
610	17317.77876
611	17311.1756
612	17307.95557
613	17284.97613
614	17279.15704
615	17275.62051
616	17271.02225
617	17267.00011
618	17264.01996
619	17243.34902
620	17222.32644
621	17216.67623
622	17211.2515
623	17192.07146
624	17188.80823
625	17185.48556
626	17165.9432
627	17161.09225
628	17156.89854
629	17132.20103
630	17105.15629
631	17099.87393
632	17072.53367
633	17069.30865
634	17064.12569
635	17057.9468
636	17052.25574
637	17049.35583
638	17042.68638
639	17022.02551
640	17017.62227
641	17014.70139
642	17012.62736
643	17011.4434
644	16981.112
645	16977.6709
646	16975.19395
647	16967.82813
648	16965.36843
649	16962.47902
650	16960.96677
651	16955.6935
652	16953.19034
653	16949.27386
654	16936.41176
655	16934.08696
656	16930.09884
657	16924.15636
658	16921.61765
659	16916.29761
660	16913.08333
661	16895.75689
662	16889.20522
663	16865.54291
664	16863.35991
665	16851.38753
666	16845.57548
667	16843.27256
668	16840.50099
669	16834.71563
670	16832.43105
671	16827.56714
672	16817.7008
673	16813.74351
674	16808.06446
675	16805.96337
676	16804.44751
677	16797.13082
678	16791.37551
679	16783.56899
680	16780.49181
681	16779.44973
682	16774.63728
683	16770.21259
684	16750.25184
685	16745.74046
686	16743.50255
687	16738.46272
688	16728.80708
689	16723.08226
690	16717.84202
691	16716.41103
692	16714.28627
693	16708.70265
694	16675.75968
695	16667.95332
696	16658.13332
697	16652.57238
698	16645.92457
699	16638.76623
700	16637.35223
701	16632.16745
702	16625.52819
703	16620.10313
704	16613.09411
705	16585.04356
706	16579.46515
707	16574.01884
708	16572.32766
709	16568.51514
710	16529.26508
711	16522.67869
712	16519.2987
713	16512.64852
714	16509.63182
715	16506.13113
716	16501.22596
717	16495.36364
718	16488.5366
719	16483.9381
720	16481.55375
721	16478.29577
722	16472.8415
723	16468.01956
724	16460.26464
725	16455.28887
726	16453.45775
727	16451.58256
728	16444.03815
729	16442.52699
730	16440.04375
731	16436.36845
732	16435.16582
733	16427.21298
734	16423.26106
735	16421.09055
736	16419.22024
737	16397.69505
738	16395.9726
739	16392.65004
740	16390.47959
741	16387.27806
742	16365.56257
743	16361.50619
744	16358.06556
745	16344.12479
746	16328.74853
747	16325.61586
748	16320.88774
749	16301.52266
750	16299.53001
751	16296.25588
752	16293.28269
753	16287.9798
754	16287.10808
755	16253.47053
756	16250.74057
757	16249.2859
758	16241.19136
759	16237.51676
760	16235.90658
761	16234.17306
762	16227.60249
763	16224.08619
764	16222.32073
765	16218.70936
766	16216.71446
767	16213.31751
768	16211.56844
769	16178.12135
770	16173.90827
771	16171.80088
772	16158.53873
773	16154.36333
774	16152.80784
775	16130.98812
776	16129.70868
777	16128.94562
778	16122.94217
779	16122.05229
780	16106.77297
781	16104.96423
782	16097.25804
783	16095.63927
784	16093.05608
785	16087.82836
786	16085.77943
787	16084.89979
788	16082.27757
789	16078.42705
790	16072.97538
791	16070.09728
792	16068.35882
793	16066.04638
794	16060.20741
795	16058.29478
796	16054.92143
797	16052.51144
798	16023.29819
799	16008.90359
800	15985.22298
801	15982.0955
802	15980.66022
803	15978.58665
804	15973.21758
805	15972.05111
806	15955.0971
807	15952.70717
808	15951.26677
809	15948.0766
810	15946.27793
811	15943.47273
812	15919.01658
813	15916.67215
814	15912.84383
815	15911.44053
816	15889.31152
817	15883.55213
818	15867.73058
819	15865.9438
820	15850.35694
821	15844.23744
822	15816.92865
823	15797.89478
824	15796.23762
825	15778.76814
826	15761.9351
827	15758.95909
828	15734.62424
829	15731.31653
830	15716.48948
831	15715.73776
832	15709.82847
833	15708.46241
834	15707.4936
835	15684.78667
836	15677.89234
837	15664.82977
838	15659.78323
839	15656.52495
840	15651.50039
841	15646.52539
842	15643.25091
843	15638.94689
844	15617.47511
845	15612.60485
846	15608.60863
847	15590.99919
848	15589.71012
849	15569.23808
850	15556.44976
851	15553.16283
852	15540.40642
853	15536.30348
854	15534.74806
855	15530.0099
856	15523.43836
857	15516.30274
858	15498.55984
859	15493.18524
860	15476.56471
861	15460.84527
862	15459.36705
863	15440.02424
864	15433.84148
865	15432.69355
866	15430.78578
867	15428.03595
868	15409.26145
869	15398.9343
870	15380.91363
871	15376.92269
872	15375.37632
873	15363.85961
874	15345.21415
875	15343.31776
876	15338.7587
877	15337.74951
878	15333.77698
879	15328.76482
880	15326.22359
881	15321.5472
882	15318.35816
883	15303.94586
884	15299.87635
885	15294.30101
886	15287.47489
887	15282.74872
888	15277.4044
889	15274.2652
890	15271.88104
891	15258.0801
892	15248.09368
893	15246.98387
894	15236.92844
895	15220.73445
896	15217.53616
897	15216.02993
898	15213.87119
899	15209.21438
900	15206.6317
901	15198.71301
902	15197.39161
903	15184.70202
904	15182.29903
905	15178.54324
906	15171.38526
907	15155.52032
908	15153.54852
909	15146.23531
910	15145.39892
911	15144.69982
912	15142.15124
913	15137.62527
914	15112.99008
915	15111.11333
916	15108.66834
917	15106.20853
918	15103.63312
919	15100.20114
920	15097.9278
921	15095.04466
922	15091.00728
923	15078.93853
924	15067.76845
925	15066.4827
926	15063.49496
927	15041.93939
928	15038.39526
929	15034.78124
930	15032.05057
931	15030.70762
932	15028.76357
933	15024.95325
934	15021.75965
935	15020.07838
936	15006.41249
937	15000.37991
938	14993.6917
939	14984.22935
940	14974.90236
941	14971.36416
942	14969.04534
943	14962.53456
944	14958.2209
945	14956.72634
946	14948.36562
947	14946.68485
948	14943.5769
949	14937.18531
950	14931.85893
951	14929.63471
952	14914.82481
953	14910.40465
954	14906.32822
955	14903.33892
956	14902.43386
957	14899.20215
958	14895.49249
959	14893.2561
960	14885.09708
961	14883.57993
962	14880.99153
963	14865.61722
964	14853.25143
965	14851.26415
966	14847.0978
967	14844.99015
968	14842.05012
969	14835.2618
970	14831.84839
971	14828.66573
972	14827.58033
973	14826.25164
974	14822.66362
975	14820.70531
976	14819.56907
977	14815.51278
978	14814.02833
979	14812.62566
980	14810.22711
981	14807.90611
982	14806.85156
983	14804.71352
984	14797.08615
985	14795.9037
986	14793.9137
987	14791.30176
988	14786.30985
989	14773.67991
990	14772.1071
991	14771.63585
992	14764.07914
993	14761.79302
994	14740.82623
995	14737.17221
996	14735.58433
997	14733.19855
998	14727.12885
999	14724.84508
